;id;acker;acker_blueh;ackerbrache;afs;erdwege_offenboden;gehoelze;siedlung;sonstige;staudenflur;streuobst;garten_obst;gruenland_int;urban_green;wasser;wein;wiese_ext;wald;weide_ext
1;bv_afs_250;0.320279621;0.292293792;0.001426635;0.263000214;0.007989158;0.01524122;0.012601945;0.010438215;0.001331526;0.075397675;0;0;0;0;0;0;0;0
2;kw_afs_250;0.200902425;0.160932506;0.040646738;0.019890957;0.043316413;0.046813311;0.010415492;0.040759541;0.006880993;0.028652002;0.015642038;0.043053205;0.038729084;0.013122767;0.256890393;0.033352134;0;0
3;wi_afs_250;0.650376212;0.015229345;0;0.024128201;0.004015338;0;0.262878021;0.019099986;0.002278976;0;0.008103024;0;0;0;0;0.013890899;0;0
4;wt_afs_250;0.024413;0.233659877;0;0.076297103;0.00925206;0.00811175;0.158554916;0.003731923;0.001658633;0.014642616;0;0.128051625;0.032783911;0;0;0.112605608;0.178562173;0.017674804
5;bv_ref_250;0.235926597;0.316108366;0.005140175;0.255643019;0.010503837;0.049911847;0.02828338;0.005140175;0.000173822;0.087159494;0;0;0.006009287;0;0;0;0;0
6;kw_ref_250;0.190025482;0.163572382;0.025927274;0.02139708;0.047041217;0.033693322;0.011446831;0.037171864;0.007402014;0.019981394;0.01565344;0.040893095;0.069934878;0.013873721;0.273591393;0.028394612;0;0
7;wi_ref_250;0.648570184;0.015459428;0;0.024205255;0.004536217;0;0.265677166;0.018035999;0.002286253;0;0.008128901;0;0;0;0;0.013100595;0;0
8;wt_ref_250;0.167369352;0.227305851;0;0;0;0.019545076;0.022902353;0.004944826;0;0;0;0.021965438;0;0;0;0.1542005;0.067770144;0.313996461
9;bv_afs_1000;0.334395274;0.116693299;0.009207124;0.034144239;0.00706728;0.040551167;0.11675883;0.017174197;0.006134722;0.113877981;0.03232449;0.025405915;0.064374253;0.024851421;0;0.038091229;0.003518518;0.015430061
10;kw_afs_1000;0.473517086;0.066474345;0.029581978;0.001552467;0.016143895;0.03664585;0.07249639;0.031850517;0.001816592;0.010562058;0.012319955;0.011686055;0.007744726;0.003498186;0.203558055;0.019125571;0;0.001426274
11;wi_afs_1000;0.511383261;0.126024752;0.020763711;0.001916606;0.014330007;0.026545138;0.113358486;0.025053806;0.002824623;0.036090813;0.039306229;0.001735577;0.006482554;0.002215447;0;0.054348857;0;0.017620133
12;wt_afs_1000;0.102298686;0.092803718;0.001877064;0.007685781;0.011990758;0.019258834;0.22601522;0.017415708;0.005490217;0.021344751;0.000605673;0.075821379;0.018423423;0.005174327;0;0.168301375;0.103105379;0.122387709
13;bv_ref_1000;0.295169106;0.106393687;0.008009121;0.03478665;0.007410812;0.039308632;0.150388644;0.016357198;0.005952274;0.110764166;0.033053352;0.026061099;0.074747516;0.027642894;0;0.04791863;0.003584717;0.0124515
14;kw_ref_1000;0.464393198;0.063379839;0.028520179;0.001584122;0.016470074;0.034653035;0.086072606;0.03258679;0.001853632;0.007693022;0.012571158;0.013825878;0.007911625;0.003413797;0.203821656;0.019794034;0;0.001455356
15;wi_ref_1000;0.515394878;0.126713018;0.018077624;0.00191789;0.014690406;0.027750462;0.108695777;0.025317875;0.002826516;0.036339274;0.038829368;0.00173674;0.00539137;0.00228019;0;0.056406673;0;0.017631938
16;wt_ref_1000;0.130154869;0.093204433;0.007588785;0;0.009774984;0.025128184;0.017122605;0.019549968;0.003709199;0.006904615;0;0.025770412;0.000647471;0.005609672;0;0.112625955;0.428495035;0.113713812
