Durchgang;flaechen_ID;art;deckung;gesamtbluetendeckung;anzahl
1;HE-BV-AFS-P0;Stellaria media;3;0;
1;HE-BV-AFS-P1;Lamium album;3;1;
1;HE-BV-AFS-P1;Lamium purpureum;1;1;
1;HE-BV-AFS-P1;Lonicera xylosteum;2;1;
1;HE-BV-AFS-P1;Salix viminalis;3;1;
1;HE-BV-AFS-P1;Stellaria media;0;1;
1;HE-BV-AFS-P1;Thlaspi arvense;0;1;
1;HE-BV-AFS-P1;Veronica persica;0;1;
1;HE-BV-AFS-P2;Taraxacum sectio Ruderalia;NA;0;
1;HE-BV-AFS-P2;Thlaspi arvense;NA;0;
1;HE-BV-AFS-P2;Veronica hederifolia;NA;0;
1;HE-BV-AFS-P3;Cerastium glomeratum;NA;1;
1;HE-BV-AFS-P3;Lamium album;NA;1;
1;HE-BV-AFS-P3;Lonicera xylosteum;NA;1;
1;HE-BV-AFS-P3;Taraxacum sectio Ruderalia;NA;1;
1;HE-BV-AFS-P3;Thlaspi arvense;NA;1;
1;HE-BV-AFS-P3;Veronica hederifolia;NA;1;
1;HE-BV-AFS-P4;Capsella bursa-pastoris;1;0;
1;HE-BV-AFS-P4;Stellaria media;3;0;
1;HE-BV-AFS-P4;Thlaspi arvense;2;0;
1;HE-BV-AFS-P5;Lamium purpureum;1;1;
1;HE-BV-AFS-P5;Lonicera xylosteum;3;1;
1;HE-BV-AFS-P5;Salix spec.;1;1;
1;HE-BV-AFS-P5;Stellaria media;0;1;
1;HE-BV-AFS-P6;Lamium purpureum;3;0;
1;HE-BV-REF-P10;Lamium purpureum;3;0;
1;HE-BV-REF-P10;Stellaria media;1;0;
1;HE-BV-REF-P10;Taraxacum sectio Ruderalia;1;0;
1;HE-BV-REF-P10;Thlaspi arvense;2;0;
1;HE-BV-REF-P10;Veronica persica;3;0;
1;HE-BV-REF-P11;Taraxacum sectio Ruderalia;2;0;
1;HE-BV-REF-P11;Thlaspi arvense;2;0;
1;HE-BV-REF-P11;Veronica persica;3;0;
1;HE-BV-REF-P12;Thlaspi arvense;3;0;
1;HE-BV-REF-P12;Veronica hederifolia;1;0;
1;HE-BV-REF-P12;Veronica persica;3;0;
1;HE-BV-REF-P7;Taraxacum sectio Ruderalia;2;0;
1;HE-BV-REF-P7;Thlaspi arvense;2;0;
1;HE-BV-REF-P7;Veronica persica;3;0;
