bemerkung;foto-nachweis;pollenproben vorhanden;plot;nest-label;bearbeiterIn;collection-date;post;tube;nest-material;cavity-diameter;cavity-length;n-brood-cells;n-brood-cells-leer;position nestverschluss;Nestverschluss offen (o) / zu(z);Wespe (w) /biene (b) /spinne (s) /diptera (d);rlp/he_RL-status;de_RL_status;host-family;host-species;host-food-resource;n-food-resource;n-host-individuals;n-male;n-female;n-gefressen/geschluepft;tot in kokon;n-dead-brood-cells;n-unknown-mortality;n-attacked-brood-cells;n-enemy-individuals;rlp/he_RL-status2;de_RL_status2;enemy-family-1;enemy-species-1;enemy-type-1;n-attacked-brood-cells-1;n-enemy-individuals-1;rlp/he_RL-status3;de_RL_status3;enemy-family-2;enemy-species-2;enemy-type-2;n-attacked-brood-cells-2;n-enemy-individuals-2;mortality
;;x;he-bv-afs-acker-ost-li;he-bv-afs-acker-ost-li-O-1;lh;14.07.2024;Ost;li;ton;6;178;10;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;8;8;0;0;;2;2;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-ost-li;he-bv-afs-acker-ost-li-O-2;lh;14.07.2024;Ost;li;ton;5;65;4;na;5;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;4;0;4;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-ref-west-li;he-bv-ref-west-li-W-8;pb;14.07.2024;West;li;ton;7;80;6;0;39;z;b;*;*;Megachilidae;osmia bicornis;pollen;na;5;5;0;0;;1;0;1;1;♦;♦;Drosophilidae;cacoxenus indagator;cleptoparasit;1;1;;;;;;;;alife
;;x;he-bv-afs-acker-ost-li;he-bv-afs-acker-ost-li-O-4;lh;14.07.2024;Ost;li;ton;7;159;9;0;0;z;b;*;*;Megachilidae;osmia bicornis;pollen;na;8;2;6;0;;1;1;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-acker-ost-li;he-bv-afs-acker-ost-li-O-5;lh;14.07.2024;Ost;li;ton;4;87;3;na;0;o;na;na;na;na;na;na;na;0;0;0;3;;0;0;0;;;;;;;;;;;;;;;;dead
zzgl totes tier;;;he-bv-afs-acker-ost-li;he-bv-afs-acker-ost-li-O-6;lh;14.07.2024;Ost;li;ton;8;148;6;na;0;na;na;na;na;na;na;pollen;na;0;0;0;0;;6;6;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-acker-ost-li;he-bv-afs-acker-ost-li-O-7;lh;14.07.2024;Ost;li;ton;7;130;1;na;11;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;0;0;0;0;;1;1;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-acker-ost-re;he-bv-afs-acker-ost-re-O-2;pb;14.07.2024;Ost;re;ton;7;57;3;0;0;z;b;*;*;Megachilidae;osmia bicornis;pollen;na;3;3;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-ost-re;he-bv-afs-acker-ost-re-O-4;pb;14.07.2024;Ost;re;ton;8;140;4;0;0;z;b;*;*;Megachilidae;osmia bicornis;pollen;na;4;3;1;0;;0;0;0;;;;;;;;;;;;;;;;alife
schimmlig;;x;he-bv-afs-acker-ost-re;he-bv-afs-acker-ost-re-O-6;pb;14.07.2024;Ost;re;ton;8;99;5;0;0;z;b;*;*;Megachilidae;osmia cornuta;pollen;na;0;0;0;0;;5;5;0;;;;;;;;;;;;;;;;dead
angefangene BZ;;;he-bv-afs-acker-ost-re;he-bv-afs-acker-ost-re-W-1;pb;14.07.2024;Ost;re;ton;8;0;0;0;na;o;na;na;na;na;na;na;na;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-ost-re;he-bv-afs-acker-ost-re-W-3;pb;14.07.2024;Ost;re;ton;7;83;2;0;0;z;b;*;*;Megachilidae;osmia bicornis;pollen;na;0;0;0;0;;2;2;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-acker-ost-re;he-bv-afs-acker-ost-re-W-5;pb;14.07.2024;Ost;re;ton;8;47;1;0;0;z;b;*;*;Megachilidae;osmia bicornis;pollen;na;1;1;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-ost-re;he-bv-afs-acker-ost-re-W-7;pb;14.07.2024;Ost;re;ton;8;83;2;0;0;o;b;*;*;Megachilidae;osmia cornuta;pollen;na;2;2;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-O-1;lh;14.07.2024;Sued;li;ton;6;141;6;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;5;5;0;0;;1;1;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-O-16;lh;14.07.2024;Sued;li;ton;8;71;3;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;3;3;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-O-21;lh;14.07.2024;Sued;li;ton;7;22;1;na;75;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;1;1;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-O-4;lh;14.07.2024;Sued;li;ton;8;68;3;na;0;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;3;3;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-O-8;lh;14.07.2024;Sued;li;ton;7;46;2;na;51;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;1;1;0;0;;1;1;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-10;lh;14.07.2024;Sued;li;ton;7;121;7;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;6;5;1;0;;1;1;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-11-1;lh;14.07.2024;Sued;li;ton;7;45;3;na;na;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;3;3;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-wi-afs-br-nord-re;he-wi-afs-br-nord-re-W-24;pb;07.10.2024;Nord;re;ton;6;40;2;0;65;o;b;*;*;Megachilidae;osmia bicornis;pollen;na;1;1;0;0;;1;0;1;1;♦;♦;Drosophilidae;cacoxenus indagator;cleptoparasit;1;1;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-12-1;lh;14.07.2024;Sued;li;ton;10;50;4;na;na;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;4;0;4;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-wi-ref-sued-2-li;he-wi-ref-sued-2-li-O-49;mw;07.10.2024;Sued;li;ton;8;160;4;1;12;z;b;*;*;Megachilidae;osmia cornuta;pollen;na;3;2;1;0;;1;0;1;1;♦;♦;Drosophilidae;cacoxenus indagator;cleptoparasit;1;1;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-13;lh;14.07.2024;Sued;li;ton;5;123;4;na;0;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;4;3;1;0;;0;0;0;;;;;;;;;;;;;;;;alife
