id;krautdeckung;kraut_gbd_median;kraut_artenzahl;gehoelz_gesamtanzahl;gehoelz_artenzahl;X
bv_afs_1000;228;1;53;161;27;9
kw_afs_1000;148;1;20;92;9;10
wi_afs_1000;419;2;117;218;37;11
wt_afs_1000;473;3;222;139;48;12
bv_ref_1000;200;1,5;27;0;0;13
kw_ref_1000;162;0;26;0;0;14
wi_ref_1000;199;1;36;0;0;15
wt_ref_1000;272;1;37;0;0;16
bv_afs_250;228;1;53;161;27;1
kw_afs_250;148;1;20;92;9;2
wi_afs_250;419;2;117;218;37;3
wt_afs_250;473;3;222;139;48;4
bv_ref_250;200;1,5;27;0;0;5
kw_ref_250;162;0;26;0;0;6
wi_ref_250;199;1;36;0;0;7
wt_ref_250;272;1;37;0;0;8
